Season, Episode, Title, Reason
5, 31, Too Old*, "Finn finally gives up on PB, Lemongrab Plot, Intro to Lemonhope"
5, 32, Earth and Water*, "Flame Princess Plot"
5, 43, Root Beer Guy*, "Slight plot elements"
5, 34, The Vault*, "Princess Bubblegum background story"
5, 38, Red Starved*, "A Possible insight into Marceline and PB's relationship."
5, 40, Play Date*, "Finn Character Development"
5, 41, The Pit*, "Finn Character Development"
5, 45, Blade of Grass, "Finn Character Development"
5, 46, Rattleballs, "Finn Character Development"
5, 47, The Red Throne*, "Flame Princess Plot"
5, 48, Betty, "Ice King/Simon Plot"
5, 50, Lemonhope Pt.1, "Lemonhope Plot"
5, 51, Lemonhope Pt.2, "Lemonhope Plot"
5, 52, Billy’s Bucket List*, "Intro to Finn’s dad plot"
6, 1, Wake Up, "Finn’s Dad plot"
6, 2, Escape from the Citadel, "Finn’s dad plot"
6, 3, The Tower*, "Finn Character Development"
6, 6, Breezy, "Finn Character Development"
6, 10, Something Big*, "Perhaps the beginning of a returning plot?"
6, 16, Joshua & Margaret Investigations, "Jake’s backstory"
6, 19, Is That You?, "Prismo Plot"
6, 22, The Cooler*, "Flame Princess Plot"
6, 24, Evergreen, "Ice King Plot"
6, 25, Astral Plane, "Finn’s dad plot"
6, 26, Gold Stars, "Lich Plot"
6, 27, The visitor, "Finn’s dad Plot"
6, 28, The Mountain*, "Some Finn/FP and Lemongrab characterization"
6, 29, Dark Purple*, "Susan Strong Plot"
6, 33, Jermaine*, "Finn and Jake family development"
6, 35, Graybles 1000+*, "Hints to future events"
6, 36, Hoots, Cosmic owl character development; Hints to Gunter's identity
6, 38, You Forgot Your Floaties, Betty comeback; Magic man plot
6, 39, Be Sweet*, Hint for the Comet
6, 40, Orgalorg, Introduces Orgalorg
6, 41, On the Lem, Finn's Dad plot
6, 42, Hot Diggity Doom, Princess Bubblegum; King of Ooo; the Comet
6, 43, The Comet, The Comet (duh); Orgalorg; Finn's Dad
7, 1, Bonnie & Neddy, King of Ooo; Candy Kingdom; PB's brother
7, 2, Varmints, PB and Marceline development and some background story
7, 3, Cherry Cream Soda*, Root Beer Guy plot (Root Beer Guy episode was included in the original list so I'm including this one)
7, 4, Mama Said*, Canyon comeback
7, 5, Football*, BMO and Football; Football's life
7, 6, Marceline The Vampire Queen (1), Awesome Marceline plot and background story across 8 episodes
7, 7, Everything Stays (2), Awesome Marceline plot and background story across 8 episodes
7, 8, Vamps About (3), Awesome Marceline plot and background story across 8 episodes 
7, 9, Empress Eyes (4), Awesome Marceline plot and background story across 8 episodes
7, 10, May I Come In? (5), Awesome Marceline plot and background story across 8 episodes
7, 11, Take Her Back (6), Awesome Marceline plot and background story across 8 episodes
7, 12, Checkmate (7), Awesome Marceline plot and background story across 8 episodes
7, 13, The Dark Cloud (8), Awesome Marceline plot and background story across 8 episodes
7, 14, The More You Moe (1), MOs backstory
7, 15, The Moe You Know (2), MOs backstory
7, 16, Summer Showers*, Viola story
7, 21, King's Ransom, Ice King; Gunter and Betty
7, 23, Crossover, Farmworld development; the Lich and Ice Finn
7, 24, Hall of Egress**, I just wowed here - Not a main plot
7, 25, Flute Spell*, Huntress Wizard; Finn's flute playing
7, 26, The Thin Yellow Line**, Banana Guards and PB - Not much main plot
7, 26, Broken His Crown, Some of Ice King's crown backstory + more Betty; PB and Marceline
7, 28, Don't Look*, How Finn sees some of the other characters
7, 30, Lady Rainicorn of the Crystal Dimension*, Some Lady background story and T.V. development
7, 31, I Am a Sword, Sword Finn development
7, 32, Bun Bun*, Some FP and Finn development; Flame King development
7, 33, Normal Man, Magic Man; GGGG and Mars plot
7, 34, Elemental, Patience intro; History of the Elementals; Flashbacks from before the Lich Explosion
7, 36, The Music Hole, Finn Sword development
7, 37, Daddy-Daughter Card Wars*, Some Jake background story; Charlie development 
7, 38, Pre-boot, Humans backstory; Susan development; Tiffany comeback
7, 39, Reboot, Susan development; Finn Sword and Grass Sword development
8, 1, Two Swords, Grass Finn development
8, 2, Do No Harm, Grass Finn development; Fern the Human
8, 3, Wheels, Jake's granddaughter
8, 4, High Strangeness, Tree Trunks and PB's relationship; Tree Trunks' space family; PB's space program
8, 5, Horse and Ball**, James Backster - Non a main plot but kinda fun
8, 6, Jelly Beans Have Power, PB's elemental powers; Patience comeback
8, 7, Islands Part 1: The Invitation, Susan Strong and Humans backstory; the Departure
8, 8, Islands Part 2: Whipple the Happy Dragon*, The Guardian; Arrival at an Island
8, 9, Islands Part 3: Mysterious Island, Some Human backstory; Alva and the Islands
8, 10, Islands Part 4: Imaginary Resources, Better Reality
8, 11, Islands Part 5: Hide and Seek, Humans and Susan backstory; Susan remembers her past
8, 12, Islands Part 6: Min & Marty, Finn's parents' backstory
8, 13, Islands Part 7: Helpers, The New Human World
8, 14, Islands Part 8: The Light Cloud, Back to Ooo
9, 1, Orb, The New Ooo
9, 2, Elements Part 1: Skyhooks, Candy Kingdom; The New Ooo
9, 3, Elements Part 2: Bespoken For, What happened in Finn and Jake's absence; Betty comeback
9, 4, Elements Part 3: Winter Light, Ice Kingdom; Getting Betty
9, 5, Elements Part 4: Cloudy, Chilling Haircuts; the Plan
9, 6, Elements Part 5: Slime Central, Slime Kingdom; Jake Dies
9, 7, Elements Part 6: Happy Warrior, Flame Kingdom; Finn Turns
9, 8, Elements Part 7: Hero Heart, LSP Save; All Jewels Are Gathered; Betty's plan
9, 9, Elements Part 8: Skyhooks II, The Fifth Element
9, 10, Abstract, Jake development
9, 11, Ketchup*, Minor Marceline background
9, 12, Fionna and Cake and Fionna**, Fionna and Cake subplot
9, 13, Whispers, Fern and Lich plot
9, 14, Three Buckets, Fern plot
10, 1, The Wild Hunt*, Minor Gumbald plot
10, 2, Always BMO Closing*, Minor Gumbald plot
10, 3, Son of Rap Bear**, Minor Flame Princess development
10, 4, Bonnibel Bubblegum, Gumbald plot
10, 5, Seventeen, Fern & Gumbald plot
10, 6, Ring of Fire**, Tree Trunks plot
10, 7, Marcy & Hunson, Marceline development; Minor Gumbald plot
10, 8, The First Investigation*, Jake development
10, 10, Jake the Starchild, Jake development
10, 11, Temple of Mars, Jake & Betty development
10, 12, Gumbaldia, Gumbald plot
10, 13, Come Along with Me, End
